landmark_checklist: 5 seeds x 15000 steps x 100-eval, coef=0.05

[baseline] starting seed=1000 (15000 steps)...
  [seed=1002] step=13600/15000 avg_step=18.1ms elapsed=246s eta=25s eval(20)=0.700
  [seed=1002] step=13800/15000 avg_step=18.1ms elapsed=249s eta=22s eval(20)=0.700
  [seed=1002] step=14000/15000 avg_step=18.1ms elapsed=253s eta=18s eval(20)=0.700
  [seed=1002] step=14200/15000 avg_step=18.1ms elapsed=257s eta=14s eval(20)=0.700
  [seed=1002] step=14400/15000 avg_step=18.1ms elapsed=261s eta=11s eval(20)=0.700
  [seed=1002] step=14600/15000 avg_step=18.1ms elapsed=264s eta=7s eval(20)=0.700
  [seed=1002] step=14800/15000 avg_step=18.1ms elapsed=268s eta=4s eval(20)=0.700
  [seed=1002] step=15000/15000 avg_step=18.1ms elapsed=272s eta=0s eval(20)=0.700
[baseline] seed=1002 done: old_style=0.0000 eval_acc(100)=0.5300
[baseline] starting seed=1003 (15000 steps)...
  [seed=1003] step=200/15000 avg_step=9.2ms elapsed=2s eta=136s eval(20)=0.150
  [seed=1003] step=400/15000 avg_step=9.6ms elapsed=4s eta=139s eval(20)=0.150
  [seed=1003] step=600/15000 avg_step=10.3ms elapsed=6s eta=148s eval(20)=0.150
  [seed=1003] step=800/15000 avg_step=11.2ms elapsed=9s eta=160s eval(20)=0.150
  [seed=1003] step=1000/15000 avg_step=11.8ms elapsed=12s eta=165s eval(20)=0.200
  [seed=1003] step=1200/15000 avg_step=12.9ms elapsed=15s eta=178s eval(20)=0.200
  [seed=1003] step=1400/15000 avg_step=13.7ms elapsed=19s eta=187s eval(20)=0.300
  [seed=1003] step=1600/15000 avg_step=14.3ms elapsed=23s eta=192s eval(20)=0.500
  [seed=1003] step=1800/15000 avg_step=14.8ms elapsed=27s eta=195s eval(20)=0.500
  [seed=1003] step=2000/15000 avg_step=15.2ms elapsed=30s eta=197s eval(20)=0.550
  [seed=1003] step=2200/15000 avg_step=15.5ms elapsed=34s eta=198s eval(20)=0.350
  [seed=1003] step=2400/15000 avg_step=15.7ms elapsed=38s eta=198s eval(20)=0.350
  [seed=1003] step=2600/15000 avg_step=15.9ms elapsed=41s eta=198s eval(20)=0.300
